,Location,Type,Amount,Year
86,Arisaig RC Primary School,Oil kWh,51143.98169634727,2001/02
87,Auchtertyre Primary School,Electric kWh,10836.797628773716,2001/02
88,Auldearn Primary School,Electric kWh,1951.389837236999,2001/02
89,Aviemore Primary School,Electric kWh,0.0,2001/02
90,Avoch Primary School,Electric kWh,19789.355932203383,2001/02
91,Avoch Primary School,Oil kWh,339511.7428310175,2001/02
92,Badcaul Primary School,Electric kWh,24473.317096018724,2001/02
93,Ballachulish Primary School,Electric kWh,47333.53490807892,2001/02
94,Balloch Primary School,Electric kWh,9642.237861696909,2001/02
95,Balnain Primary School,Electric kWh,4259.406804024907,2001/02
96,Banavie Primary School,Electric kWh,5596.720037332404,2001/02
97,Banavie Primary School,Oil kWh,342242.2886801562,2001/02
98,Beauly Primary School,Electric kWh,53158.50705258799,2001/02
99,Beauly Primary School,Oil kWh,162423.785141308,2001/02
100,Ben Wyvis Primary School,Electric kWh,0.0,2001/02
101,Bishop Eden Primary School,Electric kWh,559394.7561092476,2001/02
102,Black Isle Centre Raddery School,Electric kWh,44221.59457408865,2001/02
103,Black Isle Centre Raddery School,Oil kWh,15940.106951871652,2001/02
104,Bonar Bridge Primary School,Electric kWh,1507229.906873615,2001/02
105,Bower Primary School,Electric kWh,579078.2206088994,2001/02
106,Bridgend Primary School,Electric kWh,185591.388888889,2001/02
107,Bridgend Primary School,Oil kWh,459422.0358277858,2001/02
108,Broadford Primary School,Electric kWh,311563.037853378,2001/02
109,Broadford Primary School,Oil kWh,167271.9039278707,2001/02
110,Brora Heritage Centre,Electric kWh,-36561.46048696572,2001/02
111,Brora Primary School,Electric kWh,0.0,2001/02
112,Bualnaluib Nursery School,Electric kWh,46053.89929742391,2001/02
113,Bualnaluib Primary School,Electric kWh,106919.86520947181,2001/02
114,Cameron Youth Centre / Comm' Ed' Office,Electric kWh,49844.28266723591,2001/02
115,Canisbay Primary School,Electric kWh,1066285.9152542374,2001/02
116,Cannich Bridge Primary School,Electric kWh,67496.90828147586,2001/02
117,Caol Community Centre,Electric kWh,6475.555555555557,2001/02
118,Caol Sports Pavilion (all weather pitch),Electric kWh,9000.618805002312,2001/02
119,Carbost Primary School,Electric kWh,315235.82397479966,2001/02
120,Carrbridge Primary School,Electric kWh,136875.37183431987,2001/02
121,Castletown Primary School,Electric kWh,254237.22779156343,2001/02
122,Castletown Primary School,Oil kWh,429407.57406206505,2001/02
123,Cauldeen Primary School,Electric kWh,248320.71910669978,2001/02
124,Central Primary School,Electric kWh,0.0,2001/02
125,Central Primary School,Oil kWh,486346.79948504176,2001/02
126,Charleston Academy,Electric kWh,0.0,2001/02
127,Clachnaharry Office,Electric kWh,285081.3693411027,2001/02
128,Coulhill Primary School,Electric kWh,4114.577777777777,2001/02
129,Coulhill Primary School,Oil kWh,425224.80108404154,2001/02
130,Cradlehall Primary School,Electric kWh,211410.22014051513,2001/02
131,Cradlehall Primary School,Oil kWh,359378.75302675803,2001/02
132,Craighill Primary School,Electric kWh,17700.655555555557,2001/02
133,Craighill Primary School,Oil kWh,281702.5372168772,2001/02
134,Cromarty Primary School,Electric kWh,1076286.6063477024,2001/02
135,Crossroads Primary School,Electric kWh,165221.69145316354,2001/02
136,Crown Primary School,Electric kWh,0.0,2001/02
137,Croy Primary School,Electric kWh,89882.9137178866,2001/02
138,Culloden Academy,Electric kWh,0.0,2001/02
139,Culloden Academy,Oil kWh,1553783.1472178854,2001/02
140,Dalmore Pavilion,Electric kWh,50343.101299865535,2001/02
141,Dalneigh Primary School,Electric kWh,0.0,2001/02
