,Location,Type,Amount,Year
3360,Deshar Primary School,Electric kWh,149959.7558683304,2012/13
3361,Dingwall Community Centre,Electric kWh,10157.550201177148,2012/13
3362,Dingwall Community Centre,Gas kWh,90835.5,2012/13
3363,Dingwall Primary School,Biomass kWh,254193.09870454596,2012/13
3364,Dingwall Primary School,Electric kWh,229820.7156675899,2012/13
3365,Dingwall Primary School,Oil kWh,224143.68144621467,2012/13
3366,Dochgarroch Primary School,Electric kWh,55463.9848486195,2012/13
3367,Drakies Primary School,Electric kWh,206597.5989743208,2012/13
3368,Drakies Primary School,Gas kWh,443814.79000000004,2012/13
3369,Dunbeath Primary School,Electric kWh,7027.635342504234,2012/13
3370,Duncan Forbes Primary School,Electric kWh,66084.74682534905,2012/13
3371,Duncan Forbes Primary School,Gas kWh,236900.61999999997,2012/13
3372,Duncan Forbes Primary School,Oil kWh,25135.714285714275,2012/13
3373,Dunnet Bay Pavilion Ranger Base,Electric kWh,13615.429081473796,2012/13
3374,Dunvegan Primary School,Electric kWh,84889.42555415741,2012/13
3375,Durness Primary School,Electric kWh,15194.770284273636,2012/13
3376,Durness Primary School,Oil kWh,140206.15487263954,2012/13
3377,Duror Primary School,Electric kWh,35043.76393895662,2012/13
3378,Edderton Primary School,Electric kWh,19864.785415619575,2012/13
3379,Edderton Primary School,Oil kWh,56599.080622335285,2012/13
3380,Edinbane Primary School,Electric kWh,53904.30968929916,2012/13
3381,Elgin Hostel ,Electric kWh,156116.34209859808,2012/13
3382,Elgin Hostel ,Oil kWh,254568.41099867554,2012/13
3383,Elgol Primary School,Electric kWh,19247.689718366793,2012/13
3384,Farr High School,Electric kWh,412656.41588156135,2012/13
3385,Farr Primary School,Electric kWh,103586.54504010487,2012/13
3386,Ferintosh Primary School,Electric kWh,36031.69078747971,2012/13
3387,Ferintosh Primary School,Oil kWh,71290.83901555912,2012/13
3388,Ferry Brae  Sports Pavilion ,Electric kWh,592.4728495390717,2012/13
3389,Fort Augustus Memorial Hall Service Point,Electric kWh,26776.62084153317,2012/13
3390,Fortrose Academy,Electric kWh,317864.0,2012/13
3391,Fortrose Academy,Oil kWh,1281428.1043754674,2012/13
3392,Foyers Primary School,Electric kWh,51521.27485488045,2012/13
3393,Fraser Park Pavilion,Electric kWh,12335.12384025827,2012/13
3394,Fraser Park Pavilion,Gas kWh,26893.93609201623,2012/13
3395,Gairloch High School,Electric kWh,567612.6740280598,2012/13
3396,Gairloch Primary School,Electric kWh,103683.99999999999,2012/13
3397,Gergask Primary School (Mothballed),Electric kWh,68954.26009257328,2012/13
3398,Gledfield Primary School,Electric kWh,140072.99187247138,2012/13
3399,Glencoe Primary School,Electric kWh,53287.07381533358,2012/13
3400,Glenelg Primary School,Electric kWh,95273.27113918084,2012/13
3401,Glenurquhart Primary School,Biomass kWh,36038.25764596848,2012/13
3402,Glenurquhart Primary School,Electric kWh,120682.4679256812,2012/13
3403,Glenurquhart Primary School,Oil kWh,182143.74547161223,2012/13
3404,Golspie High School,Biomass kWh,0.0,2012/13
3405,Golspie High School,Electric kWh,209449.99999999997,2012/13
3406,Golspie High School,Oil kWh,655904.4171072703,2012/13
3407,Golspie Primary School,Biomass kWh,0.0,2012/13
3408,Golspie Primary School,Electric kWh,131657.6944671186,2012/13
3409,Golspie Primary School,Oil kWh,353506.43514538556,2012/13
3410,Grantown Grammar School,Electric kWh,561045.8149253731,2012/13
3411,Grantown Grammar School,Oil kWh,1513237.4543070025,2012/13
3412,Grantown Primary School,Biomass kWh,0.0,2012/13
3413,Grantown Primary School,Electric kWh,164405.54085233546,2012/13
3414,Grantown Primary School,Oil kWh,329136.55717514956,2012/13
3415,Halkirk Primary School,Biomass kWh,390808.8639200317,2012/13
3416,Halkirk Primary School,Electric kWh,55425.96784640837,2012/13
3417,Halkirk Primary School,Gas kWh,0.0,2012/13
3418,Halkirk Primary School,Oil kWh,347149.3233173185,2012/13
3419,Helmsdale Primary School,Electric kWh,36168.13210855097,2012/13
3420,Helmsdale Primary School,Oil kWh,444866.08584428875,2012/13
3421,Hill of Fearn Primary School,Electric kWh,103146.73060810493,2012/13
3422,Hilton Primary School (Fearn),Biomass kWh,10822.484587178144,2012/13
3423,Hilton Primary School (Fearn),Electric kWh,56219.650254614986,2012/13
3424,Hilton Primary School (Fearn),Oil kWh,212965.2536450246,2012/13
3425,Hilton Primary School (Inv.),Biomass kWh,30020.143884892062,2012/13
3426,Hilton Primary School (Inv.),Electric kWh,91847.99610587575,2012/13
3427,Hilton Primary School (Inv.),Oil kWh,429751.80284385354,2012/13
3428,Holm Primary School,Electric kWh,9625.982849564272,2012/13
3429,Holm Primary School,Gas kWh,490879.8600000001,2012/13
3430,Inver Primary School,Electric kWh,70563.91924629878,2012/13
3431,Invergarry Primary School,Electric kWh,38019.7457557978,2012/13
3432,Invergordon Academy,Biomass kWh,0.0,2012/13
3433,Invergordon Academy,Electric kWh,204998.86011465557,2012/13
3434,Invergordon Academy,Oil kWh,887537.249466635,2012/13
3435,Inverlochy Primary School,Biomass kWh,175272.5806451613,2012/13
3436,Inverlochy Primary School,Electric kWh,53179.853498134995,2012/13
3437,Inverlochy Primary School,Oil kWh,160109.83518069005,2012/13
3438,Inverness Child Guidance Centre,Electric kWh,88751.17793065363,2012/13
3439,Inverness High School,Biomass kWh,45764.38356164381,2012/13
3440,Inverness High School,Electric kWh,278040.99999999994,2012/13
3441,Inverness High School,Gas kWh,1929374.0799999998,2012/13
3442,Inverness High School,Oil kWh,308206.1274503738,2012/13
3443,Keiss Primary School,Electric kWh,97018.89463409066,2012/13
3444,Kilchoan Primary School,Electric kWh,47401.3447310449,2012/13
3445,Kilchuimen Academy,Biomass kWh,0.0,2012/13
3446,Kilchuimen Academy,Electric kWh,94803.14828263342,2012/13
3447,Kilchuimen Academy,Oil kWh,420963.2585418362,2012/13
3448,Kilmuir Primary School,Electric kWh,26983.1921439137,2012/13
3449,Kilmuir Primary School,Oil kWh,131522.23397406304,2012/13
3450,Kiltearn Primary School,Biomass kWh,50361.9594178317,2012/13
3451,Kiltearn Primary School,Electric kWh,36449.91751080728,2012/13
3452,Kiltearn Primary School,Oil kWh,139206.927409816,2012/13
3453,Kingussie High School,Biomass kWh,672250.9964761265,2012/13
3454,Kingussie High School,Electric kWh,364767.2245852828,2012/13
3455,Kingussie High School,Oil kWh,329708.37643799954,2012/13
3456,Kingussie Primary School,Biomass kWh,0.0,2012/13
3457,Kingussie Primary School,Electric kWh,105835.0,2012/13
3458,Kingussie Primary School,Oil kWh,442215.7385097493,2012/13
3459,Kinlochbervie High School,Electric kWh,492062.05730994965,2012/13
3460,Kinlochewe Primary School,Electric kWh,54369.73789259351,2012/13
3461,Kinmylies Primary School,Electric kWh,66572.00000000001,2012/13
3462,Kinmylies Primary School,Gas kWh,104128.09800089648,2012/13
3463,Kinmylies Primary School,Oil kWh,0.0,2012/13
3464,Kirkhill Primary School,Biomass kWh,0.0,2012/13
3465,Kirkhill Primary School,Electric kWh,132600.87953613364,2012/13
3466,Knockbreck Primary School (Skye),Electric kWh,33889.28167779449,2012/13
3467,Knockbreck Primary School (Tain),Electric kWh,138055.4371999643,2012/13
3468,Kyle Primary School,Electric kWh,112018.41028000171,2012/13
3469,Kyleakin Primary School,Electric kWh,71690.87537229616,2012/13
3470,Lady Lovat Primary School,Electric kWh,32313.914129173856,2012/13
3471,Lairg Primary School,Biomass kWh,155472.1647350313,2012/13
3472,Lairg Primary School,Electric kWh,45144.259651517845,2012/13
3473,Lairg Primary School,Oil kWh,159239.9805878965,2012/13
3474,Loch Duich Primary School,Electric kWh,71103.05114373454,2012/13
3475,Lochaber High School,Biomass kWh,1351562.5032258062,2012/13
3476,Lochaber High School,Electric kWh,837635.0,2012/13
3477,Lochaber High School,Oil kWh,1414878.4835222359,2012/13
3478,Lochaline Primary School,Biomass kWh,90470.61302184217,2012/13
3479,Lochaline Primary School,Electric kWh,48323.109603674835,2012/13
3480,Lochardil Primary School,Electric kWh,104114.75633357267,2012/13
3481,Lochardil Primary School,Oil kWh,252773.3739595077,2012/13
3482,Lochcarron Primary School,Biomass kWh,108326.41288176508,2012/13
3483,Lochcarron Primary School,Electric kWh,118920.49894776431,2012/13
3484,Lochcarron Primary School,Oil kWh,6901.19812467442,2012/13
3485,Lochinver Primary School,Electric kWh,29428.056938081056,2012/13
3486,Lochinver Primary School,Oil kWh,152294.89012446953,2012/13
3487,Lundavra Primary School,Biomass kWh,0.0,2012/13
3488,Lybster Primary School,Biomass kWh,0.0,2012/13
3489,Lybster Primary School,Electric kWh,67246.58600368087,2012/13
3490,Lybster Primary School,Oil kWh,365227.07739963505,2012/13
3491,MacDiarmid Primary School,Electric kWh,60027.78269550475,2012/13
3492,Mallaig High School,Electric kWh,391985.96769851964,2012/13
3493,Mallaig High School Residences,Electric kWh,187309.96932979935,2012/13
3494,Mallaig Primary School,Electric kWh,33859.11523377193,2012/13
3495,Mallaig Primary School,Oil kWh,153327.04878886853,2012/13
3496,Marybank Primary School,Electric kWh,118335.7572429284,2012/13
3497,Melvich Primary School,Electric kWh,18734.459746928296,2012/13
3498,Melvich Primary School,Oil kWh,123594.18843802111,2012/13
3499,Merkinch Family Centre,Electric kWh,16885.48675296576,2012/13
3500,Merkinch Family Centre,Gas kWh,137587.21999999997,2012/13
3501,Merkinch Primary School,Electric kWh,98504.08618337642,2012/13
3502,Merkinch Primary School,Gas kWh,758310.6500000001,2012/13
3503,Millbank Park Boating Shed,Electric kWh,16.09082326636828,2012/13
3504,Millbank Primary School,Electric kWh,223332.52545412257,2012/13
3505,Millbank Primary School,Gas kWh,74889.00000000001,2012/13
3506,Millbank Primary School,Oil kWh,426930.7217242111,2012/13
3507,Miller Academy Primary School,Electric kWh,329810.0,2012/13
3508,Miller Academy Primary School,Gas kWh,18439.520000000004,2012/13
3509,Miller Academy Primary School,Oil kWh,245076.03545613526,2012/13
3510,Milton Of Leys Primary School,Biomass kWh,441764.9557754957,2012/13
3511,Milton Of Leys Primary School,Electric kWh,154069.0163776838,2012/13
3512,Milton Primary School,Biomass kWh,34468.47123287669,2012/13
3513,Milton Primary School,Electric kWh,28671.88948781865,2012/13
3514,Milton Primary School,Oil kWh,166775.00359709567,2012/13
3515,Morven Youth Club,Electric kWh,4841.581985522034,2012/13
3516,Mount Pleasant Primary School,Electric kWh,65603.87631142193,2012/13
3517,Mount Pleasant Primary School,Oil kWh,461315.3795131409,2012/13
3518,Muir of Ord Library,Electric kWh,362.3679601392619,2012/13
3519,Muirtown Primary School,Electric kWh,109793.24699364345,2012/13
3520,Muirtown Primary School,Gas kWh,379625.91000000003,2012/13
3521,Mulbuie Primary School,Electric kWh,42694.787316731614,2012/13
3522,Mulbuie Primary School,Oil kWh,35042.044777111376,2012/13
3523,Munlochy Primary School,Electric kWh,87534.92010281727,2012/13
3524,Munlochy Primary School,Oil kWh,78477.8744987374,2012/13
3525,Nairn Academy,Electric kWh,503202.835767267,2012/13
3526,Nairn Academy,Gas kWh,2034890.4000000001,2012/13
3527,Newmore Primary School,Electric kWh,86006.0517522298,2012/13
3528,Newtonmore Primary School,Electric kWh,215274.03127520613,2012/13
3529,North Kessock Primary School,Biomass kWh,0.0,2012/13
3530,North Kessock Primary School,Electric kWh,205647.4891397597,2012/13
3531,Obsdale Primary School,Electric kWh,39900.848591872076,2012/13
3532,Obsdale Primary School,Oil kWh,312485.86364033807,2012/13
3533,Park Primary School,Biomass kWh,452876.2466769706,2012/13
3534,Park Primary School,Electric kWh,75982.7314217729,2012/13
3535,Park Primary School,Oil kWh,70132.15501511478,2012/13
3536,Pefferside Park,Electric kWh,14374.307833071602,2012/13
3537,Pennyland Primary School,Electric kWh,345987.0,2012/13
3538,Plockton High School,Biomass kWh,1188392.387007052,2012/13
3539,Plockton High School,Electric kWh,375017.78257925005,2012/13
3540,Plockton High School,Oil kWh,179425.76393621697,2012/13
3541,Plockton Primary School,Electric kWh,110257.28778191816,2012/13
3542,Poolewe Primary School,Electric kWh,72915.39763213426,2012/13
3543,Portree Primary School,Electric kWh,210378.86018721637,2012/13
3544,Queens Park Grandstand,Electric kWh,21441.62683502955,2012/13
3545,Raasay Primary School,Electric kWh,31125.210104348902,2012/13
3546,Raigmore Community Centre,Electric kWh,54390.10415019759,2012/13
3547,Raigmore Primary School,Electric kWh,132517.30792459793,2012/13
3548,Raigmore Primary School,Oil kWh,243926.31288403974,2012/13
3549,Reay Primary School,Electric kWh,97793.98918625498,2012/13
3550,Rogart Primary School,Electric kWh,96954.65699598753,2012/13
3551,Rosebank Primary School,Electric kWh,227745.5379367201,2012/13
3552,Rosebank Primary School,Oil kWh,528701.514877018,2012/13
3553,Rosehall Primary School,Electric kWh,86174.72338593975,2012/13
3554,Rosemarkie Beach Amenities,Electric kWh,11262.384791523311,2012/13
3555,Roy Bridge Primary School,Electric kWh,77364.15506682407,2012/13
3556,Scourie Primary School,Electric kWh,84237.24045067788,2012/13
3557,Shieldaig Primary School,Electric kWh,36904.72910645152,2012/13
3558,Sir John's Square Gardens,Electric kWh,688.554051466496,2012/13
3559,Sleat Primary School _Bun-sgoil Shleite,Biomass kWh,0.0,2012/13
3560,Sleat Primary School _Bun-sgoil Shleite,Electric kWh,93025.91476127281,2012/13
3561,Smithton Primary School,Electric kWh,79951.45399716185,2012/13
3562,Smithton Primary School,Gas kWh,608659.4299999999,2012/13
3563,Smithton Primary School,Oil kWh,0.0,2012/13
3564,South Lodge Primary School,Biomass kWh,259504.01829409847,2012/13
3565,South Lodge Primary School,Electric kWh,62328.88881774816,2012/13
3566,South Lodge Primary School,Oil kWh,121478.23727433285,2012/13
3567,St Bride's Primary School,Electric kWh,82943.47688319255,2012/13
3568,St Clements Special School,Electric kWh,60891.86914631715,2012/13
3569,St Clements Special School,Gas kWh,0.0,2012/13
3570,St Clements Special School,Oil kWh,205544.9786390985,2012/13
3571,St Duthus School,Electric kWh,100280.76444519791,2012/13
3572,St Joseph's RC Primary School,Electric kWh,67830.13216750533,2012/13
3573,St Joseph's RC Primary School,Oil kWh,327379.3048847421,2012/13
3574,Staffin Primary School,Biomass kWh,0.0,2012/13
3575,Staffin Primary School,Electric kWh,102802.74088800997,2012/13
3576,Stoer Primary School (Mothballed),Electric kWh,40279.19364020857,2012/13
3577,Strathconon Primary School,Electric kWh,61767.17116788302,2012/13
3578,Stratherrick Primary School,Electric kWh,87634.15316357683,2012/13
3579,Strathgarve Primary School,Electric kWh,61767.17116788302,2012/13
3580,Strathpeffer Primary School,Electric kWh,268093.0,2012/13
3581,Struan Primary School,Electric kWh,52500.0511796829,2012/13
3582,Struy Primary School,Electric kWh,0.0,2012/13
3583,Tain Royal Academy,Biomass kWh,2426249.5099403583,2012/13
3584,Tain Royal Academy,Electric kWh,1026559.2448406849,2012/13
3585,Tain Royal Academy,Oil kWh,387934.21298446966,2012/13
3586,Tarbat Primary School,Electric kWh,47378.05816261498,2012/13
3587,Tarbat Primary School,Oil kWh,78522.61698164424,2012/13
3588,Tarradale Primary School,Biomass kWh,316679.24501342425,2012/13
3589,Tarradale Primary School,Electric kWh,242094.9485491764,2012/13
3590,Tarradale Primary School,Oil kWh,13994.37778073364,2012/13
3591,Teanassie Primary School,Electric kWh,123857.3325388856,2012/13
3592,The Breck Leisure Centre,Electric kWh,674.7080173671407,2012/13
3593,The Bridge,Electric kWh,115888.34798843968,2012/13
3594,Thrumster Primary School,Electric kWh,89394.496814878,2012/13
3595,Thurso High School,Biomass kWh,239690.31943031534,2012/13
3596,Thurso High School,Electric kWh,1222707.9999999998,2012/13
3597,Thurso High School,Gas kWh,125555.23000000001,2012/13
3598,Thurso High School,Oil kWh,495887.59017068346,2012/13
3599,Thurso Youth Club,Electric kWh,4335.740665506816,2012/13
3600,Thurso Youth Club,Gas kWh,124719.70000000001,2012/13
3601,Tomnacross Primary School,Electric kWh,280885.99999999994,2012/13
3602,Tongue Primary School,Electric kWh,65811.36402201554,2012/13
3603,Tore Primary School,Electric kWh,114399.60834454912,2012/13
3604,Torridon Primary School (Mothballed),Electric kWh,15889.528689919218,2012/13
3605,Uig Primary School,Electric kWh,38552.715453978555,2012/13
3606,Ullapool Gym Hall,Electric kWh,2598.475232701445,2012/13
3607,Ullapool High School,Electric kWh,330487.00000000006,2012/13
3608,Ullapool Primary School,Electric kWh,121125.89160753525,2012/13
3609,Ullapool Primary School,Oil kWh,181265.3891845082,2012/13
3610,Watten Primary School,Electric kWh,107651.88074717236,2012/13
3611,Wick High School,Electric kWh,477871.1551675761,2012/13
3612,Wick High School,Gas kWh,2818.7099999999996,2012/13
3613,Wick High School,Oil kWh,2669315.448502994,2012/13
3614,Wick Youth Club,Electric kWh,14782.549271158965,2012/13
3615,Wick Youth Club,Gas kWh,124560.01000000002,2012/13
3616,Abernethy Primary School,Biomass kWh,238767.3544242549,2013/14
3617,Abernethy Primary School,Electric kWh,47653.61363351562,2013/14
3618,Abernethy Primary School,Oil kWh,120451.79497301903,2013/14
3619,Acharacle Primary School ,Electric kWh,84817.68506056527,2013/14
3620,Achfary Primary School,Electric kWh,46978.858318112005,2013/14
3621,Achiltibuie Primary School,Electric kWh,48172.635773888906,2013/14
3622,Aldourie Primary School,Electric kWh,21612.89110985561,2013/14
3623,Alness Academy ( Old ),Electric kWh,484910.1159950802,2013/14
3624,Alness Academy ( Old ),Oil kWh,2976715.619928494,2013/14
3625,Altnaharra Primary School (Mothballed),Electric kWh,4542.129533953269,2013/14
3626,Altnaharra Primary School (Mothballed),Oil kWh,43903.23560640822,2013/14
3627,Alvie Primary School,Electric kWh,80902.41369866858,2013/14
3628,Applecross Primary School,Electric kWh,6893.310869372258,2013/14
3629,Ardersier Primary School,Biomass kWh,80504.90000000002,2013/14
3630,Ardersier Primary School,Electric kWh,91539.67232710891,2013/14
3631,Ardgour Primary School,Electric kWh,71402.8783945712,2013/14
3632,Ardross Primary School,Electric kWh,100997.00948171398,2013/14
3633,Arisaig RC Primary School,Electric kWh,10014.136624249411,2013/14
3634,Arisaig RC Primary School,Oil kWh,49020.22934458096,2013/14
3635,Auchtertyre Primary School,Biomass kWh,56878.23870220162,2013/14
3636,Auchtertyre Primary School,Electric kWh,123807.83185783315,2013/14
3637,Auldearn Primary School,Electric kWh,68885.77039584193,2013/14
3638,Auldearn Primary School,Gas kWh,341966.50999999995,2013/14
3639,Aviemore Primary School,Biomass kWh,937168.0348846979,2013/14
3640,Aviemore Primary School,Electric kWh,382190.0,2013/14
3641,Avoch Primary School,Biomass kWh,201999.23504867867,2013/14
3642,Avoch Primary School,Electric kWh,68085.3281853282,2013/14
3643,Avoch Primary School,Oil kWh,52973.99214990189,2013/14
3644,Badcaul Primary School,Electric kWh,46641.33087695902,2013/14
3645,Ballachulish Primary School,Electric kWh,147651.6128719559,2013/14
3646,Balloch Primary School,Electric kWh,253438.96427773626,2013/14
3647,Balloch Primary School,Gas kWh,0.0,2013/14
3648,Balnain Primary School,Electric kWh,47878.01619918373,2013/14
3649,Banavie Primary School,Electric kWh,33411.58762677257,2013/14
3650,Banavie Primary School,Oil kWh,219288.2375607789,2013/14
3651,Beauly Primary School,Biomass kWh,203628.9145725306,2013/14
3652,Beauly Primary School,Electric kWh,187341.26339540124,2013/14
3653,Beauly Primary School,Oil kWh,20355.89123121096,2013/14
3654,Ben Wyvis Primary School,Biomass kWh,467882.7144379439,2013/14
3655,Ben Wyvis Primary School,Electric kWh,184966.4522207268,2013/14
3656,Ben Wyvis Primary School,Gas kWh,4122.4956397597625,2013/14
3657,Bishop Eden Primary School,Electric kWh,89602.024440922,2013/14
3658,Black Isle Centre Raddery School,Electric kWh,152402.83529088643,2013/14
3659,Black Isle Centre Raddery School,Oil kWh,0.0,2013/14
3660,Bonar Bridge Primary School,Electric kWh,174461.95339268047,2013/14
3661,Bower Primary School,Electric kWh,70034.6697350585,2013/14
3662,Bridgend Primary School,Biomass kWh,95915.11475409835,2013/14
3663,Bridgend Primary School,Electric kWh,109775.20336574384,2013/14
3664,Bridgend Primary School,Oil kWh,426156.8364436837,2013/14
3665,Broadford Primary School,Biomass kWh,133193.11682756926,2013/14
3666,Broadford Primary School,Electric kWh,82893.98198661862,2013/14
3667,Broadford Primary School,Oil kWh,0.0,2013/14
3668,Brora Heritage Centre,Electric kWh,21302.311401716383,2013/14
3669,Brora Primary School,Electric kWh,617762.0457604307,2013/14
3670,Bualnaluib Nursery School,Electric kWh,12275.107417284291,2013/14
3671,Bualnaluib Primary School,Electric kWh,94427.83537532756,2013/14
3672,Cameron Youth Centre / Comm' Ed' Office,Electric kWh,47803.88134079515,2013/14
3673,Canisbay Primary School,Electric kWh,65606.54417130607,2013/14
3674,Cannich Bridge Primary School,Electric kWh,70412.59119415558,2013/14
3675,Caol Community Centre,Electric kWh,83259.36210555559,2013/14
3676,Caol Joint Campus,Biomass kWh,0.0,2013/14
3677,Caol Sports Pavilion (all weather pitch),Electric kWh,2335.2395933385556,2013/14
3678,Carbost Primary School,Electric kWh,64629.02828400233,2013/14
3679,Carrbridge Primary School,Biomass kWh,68290.28190158466,2013/14
3680,Carrbridge Primary School,Electric kWh,70397.56425379,2013/14
3681,Castletown Primary School,Biomass kWh,154597.43344552687,2013/14
3682,Castletown Primary School,Electric kWh,71580.34468333182,2013/14
3683,Castletown Primary School,Oil kWh,349279.02177692903,2013/14
3684,Cauldeen Primary School,Electric kWh,93219.07944431483,2013/14
3685,Cauldeen Primary School,Gas kWh,440973.4399999999,2013/14
3686,Central Primary School,Electric kWh,92519.56511443346,2013/14
3687,Central Primary School,Gas kWh,558303.428548387,2013/14
3688,Central Primary School,Oil kWh,0.0,2013/14
3689,Charleston Academy,Electric kWh,438070.5407007007,2013/14
3690,Charleston Academy,Gas kWh,1653303.1,2013/14
3691,Clachnaharry Office,Electric kWh,66706.12152673278,2013/14
3692,Coulhill Primary School,Electric kWh,75167.62279614041,2013/14
3693,Coulhill Primary School,Gas kWh,374026.0183695652,2013/14
3694,Coulhill Primary School,Oil kWh,0.0,2013/14
3695,Cradlehall Primary School,Electric kWh,86645.48102633451,2013/14
3696,Cradlehall Primary School,Gas kWh,309493.68,2013/14
3697,Cradlehall Primary School,Oil kWh,0.0,2013/14
3698,Craighill Primary School,Electric kWh,99005.81697476523,2013/14
3699,Craighill Primary School,Oil kWh,277637.3335394645,2013/14
3700,Cromarty Primary School,Electric kWh,170849.6621375126,2013/14
3701,Crossroads Primary School,Electric kWh,79680.4155603954,2013/14
3702,Crown Primary School,Electric kWh,80525.94556761674,2013/14
3703,Crown Primary School,Gas kWh,521264.22,2013/14
3704,Croy Primary School,Biomass kWh,127453.51902587521,2013/14
3705,Croy Primary School,Electric kWh,29969.67214787525,2013/14
3706,Culloden Academy,Biomass kWh,238519.25000000006,2013/14
3707,Culloden Academy,Electric kWh,690620.0,2013/14
3708,Culloden Academy,Gas kWh,593.4499999999998,2013/14
3709,Culloden Academy,Oil kWh,1109557.831348728,2013/14
3710,Dalmore Pavilion,Electric kWh,10913.449802986981,2013/14
3711,Dalneigh Primary School,Electric kWh,4851.276844719715,2013/14
3712,Dalneigh Primary School,Gas kWh,518944.22,2013/14
3713,Daviot Primary School,Electric kWh,64856.18869814418,2013/14
3714,Deshar Primary School,Electric kWh,146870.45654953414,2013/14
3715,Dingwall Community Centre,Electric kWh,9508.43031536114,2013/14
3716,Dingwall Community Centre,Gas kWh,87611.19999999998,2013/14
3717,Dingwall Primary School,Biomass kWh,282380.1405691595,2013/14
3718,Dingwall Primary School,Electric kWh,205932.711299573,2013/14
3719,Dingwall Primary School,Oil kWh,98271.13635574254,2013/14
3720,Dochgarroch Primary School,Electric kWh,56423.337760157025,2013/14
3721,Drakies Primary School,Electric kWh,125718.04174800553,2013/14
3722,Drakies Primary School,Gas kWh,351727.86,2013/14
3723,Dunbeath Primary School,Electric kWh,62975.148101434854,2013/14
3724,Duncan Forbes Primary School,Electric kWh,71054.57226709896,2013/14
3725,Duncan Forbes Primary School,Gas kWh,220450.61999999994,2013/14
3726,Duncan Forbes Primary School,Oil kWh,0.0,2013/14
3727,Dunnet Bay Pavilion Ranger Base,Electric kWh,9132.774703024448,2013/14
3728,Dunvegan Primary School,Electric kWh,117345.8680311761,2013/14
3729,Durness Primary School,Electric kWh,16283.606278950077,2013/14
3730,Durness Primary School,Oil kWh,131259.63400154997,2013/14
3731,Duror Primary School,Electric kWh,41747.49990010987,2013/14
3732,Edderton Primary School,Electric kWh,27493.925503778988,2013/14
3733,Edderton Primary School,Oil kWh,32567.157668534885,2013/14
3734,Edinbane Primary School,Electric kWh,67103.88976082917,2013/14
3735,Elgin Hostel ,Electric kWh,147288.28874901653,2013/14
3736,Elgin Hostel ,Oil kWh,241707.3241455266,2013/14
3737,Elgol Primary School,Electric kWh,15579.485685585134,2013/14
3738,Farr High School,Electric kWh,404762.6869307298,2013/14
3739,Farr Primary School,Electric kWh,87461.58142664873,2013/14
3740,Ferintosh Primary School,Electric kWh,30639.948887158647,2013/14
3741,Ferintosh Primary School,Oil kWh,69522.67418691807,2013/14
3742,Ferry Brae  Sports Pavilion ,Electric kWh,560.5571820423202,2013/14
3743,Fort Augustus Memorial Hall Service Point,Electric kWh,27223.027070925833,2013/14
3744,Fortrose Academy,Electric kWh,309796.0,2013/14
3745,Fortrose Academy,Oil kWh,1082476.215128382,2013/14
3746,Foyers Primary School,Electric kWh,64355.067335123225,2013/14
3747,Fraser Park Pavilion,Electric kWh,2959.7669308670697,2013/14
3748,Fraser Park Pavilion,Gas kWh,19382.893907983762,2013/14
3749,Gairloch High School,Electric kWh,474656.1653327683,2013/14
3750,Gairloch Primary School,Electric kWh,106484.00000000003,2013/14
3751,Gergask Primary School (Mothballed),Electric kWh,63037.05330238421,2013/14
3752,Gledfield Primary School,Electric kWh,132562.9478481836,2013/14
3753,Glencoe Primary School,Electric kWh,61279.648470286644,2013/14
3754,Glenelg Primary School,Electric kWh,84646.85693443181,2013/14
3755,Glenurquhart Primary School,Biomass kWh,168160.74235403148,2013/14
3756,Glenurquhart Primary School,Electric kWh,63023.48100318114,2013/14
3757,Glenurquhart Primary School,Oil kWh,24288.546418865604,2013/14
3758,Golspie High School,Biomass kWh,232779.99999999994,2013/14
3759,Golspie High School,Electric kWh,225538.0,2013/14
3760,Golspie High School,Oil kWh,301804.68980141287,2013/14
3761,Golspie Primary School,Biomass kWh,284816.45161290327,2013/14
3762,Golspie Primary School,Electric kWh,116661.28399858119,2013/14
3763,Golspie Primary School,Oil kWh,31874.336283185847,2013/14
3764,Grantown Grammar School,Electric kWh,562942.9478126608,2013/14
3765,Grantown Grammar School,Oil kWh,1402462.778678203,2013/14
3766,Grantown Primary School,Biomass kWh,216127.01588877855,2013/14
3767,Grantown Primary School,Electric kWh,156928.78563314673,2013/14
3768,Grantown Primary School,Oil kWh,51144.55091819698,2013/14
3769,Halkirk Primary School,Biomass kWh,402229.91514973575,2013/14
3770,Halkirk Primary School,Electric kWh,48299.37039124185,2013/14
3771,Halkirk Primary School,Gas kWh,0.0,2013/14
3772,Halkirk Primary School,Oil kWh,191826.90102318965,2013/14
3773,Helmsdale Primary School,Electric kWh,27486.129484436748,2013/14
3774,Helmsdale Primary School,Oil kWh,301011.0983332711,2013/14
3775,Hill of Fearn Primary School,Electric kWh,89118.87439237328,2013/14
3776,Hilton Primary School (Fearn),Biomass kWh,49059.62363589741,2013/14
3777,Hilton Primary School (Fearn),Electric kWh,57592.83796879661,2013/14
3778,Hilton Primary School (Fearn),Oil kWh,87679.2007911543,2013/14
3779,Hilton Primary School (Inv.),Biomass kWh,106390.57553956835,2013/14
3780,Hilton Primary School (Inv.),Electric kWh,87837.14701493458,2013/14
3781,Hilton Primary School (Inv.),Oil kWh,291167.06401633593,2013/14
3782,Holm Primary School,Electric kWh,11447.51729317423,2013/14
