LOCATION,TYPE,UNIT,AMOUNT,YEAR
HELMSDALE PRIMARY SCHOOL,OIL,KWH,323692.4451482669,2005/06
HELMSDALE PRIMARY SCHOOL,OIL,£,12714.799430224411,2005/06
HELMSDALE PRIMARY SCHOOL,OIL,£/KWH,0.03928049486728186,2005/06
HILL OF FEARN PRIMARY SCHOOL,ELECTRICITY,KWH,60394.665748101215,2005/06
HILL OF FEARN PRIMARY SCHOOL,ELECTRICITY,£,3713.50988723813,2005/06
HILL OF FEARN PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0614873820599774,2005/06
HILTON PRIMARY SCHOOL FEARN,ELECTRICITY,KWH,53365.188238266695,2005/06
HILTON PRIMARY SCHOOL FEARN,ELECTRICITY,£,4747.183469356839,2005/06
HILTON PRIMARY SCHOOL FEARN,ELECTRICITY,£/KWH,0.08895655812477328,2005/06
HILTON PRIMARY SCHOOL FEARN,OIL,KWH,257749.24965511422,2005/06
HILTON PRIMARY SCHOOL FEARN,OIL,£,10313.946756812858,2005/06
HILTON PRIMARY SCHOOL FEARN,OIL,£/KWH,0.04001542883486028,2005/06
HILTON PRIMARY SCHOOL INV,ELECTRICITY,KWH,84609.87982401102,2005/06
HILTON PRIMARY SCHOOL INV,ELECTRICITY,£,7868.892344635807,2005/06
HILTON PRIMARY SCHOOL INV,ELECTRICITY,£/KWH,0.09300205083618063,2005/06
HILTON PRIMARY SCHOOL INV,OIL,KWH,533393.0219673626,2005/06
HILTON PRIMARY SCHOOL INV,OIL,£,20917.72499110189,2005/06
HILTON PRIMARY SCHOOL INV,OIL,£/KWH,0.03921634541439841,2005/06
HOLM PRIMARY SCHOOL,ELECTRICITY,KWH,70574.85676343522,2005/06
HOLM PRIMARY SCHOOL,ELECTRICITY,£,6435.131395182306,2005/06
HOLM PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.09118164301420648,2005/06
HOLM PRIMARY SCHOOL,GAS,KWH,444514.62437499996,2005/06
HOLM PRIMARY SCHOOL,GAS,£,8906.543125000002,2005/06
HOLM PRIMARY SCHOOL,GAS,£/KWH,0.020036558161664202,2005/06
INVER PRIMARY SCHOOL,ELECTRICITY,KWH,68461.71706471339,2005/06
INVER PRIMARY SCHOOL,ELECTRICITY,£,4995.933285021169,2005/06
INVER PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07297411603478723,2005/06
INVERGARRY PRIMARY SCHOOL,ELECTRICITY,KWH,63024.78667597501,2005/06
INVERGARRY PRIMARY SCHOOL,ELECTRICITY,£,5691.767119207223,2005/06
INVERGARRY PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.09030997833391984,2005/06
INVERGORDON ACADEMY,ELECTRICITY,KWH,243987.50043984049,2005/06
INVERGORDON ACADEMY,ELECTRICITY,£,18840.371275333364,2005/06
INVERGORDON ACADEMY,ELECTRICITY,£/KWH,0.07721859210561811,2005/06
INVERGORDON ACADEMY,OIL,KWH,870879.682079721,2005/06
INVERGORDON ACADEMY,OIL,£,34029.49846102697,2005/06
INVERGORDON ACADEMY,OIL,£/KWH,0.039074856333497374,2005/06
INVERLOCHY PRIMARY SCHOOL,ELECTRICITY,KWH,44203.05977115261,2005/06
INVERLOCHY PRIMARY SCHOOL,ELECTRICITY,£,4043.520979206795,2005/06
INVERLOCHY PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.09147604261200125,2005/06
INVERLOCHY PRIMARY SCHOOL,OIL,KWH,348037.1873309741,2005/06
INVERLOCHY PRIMARY SCHOOL,OIL,£,13481.249275610458,2005/06
INVERLOCHY PRIMARY SCHOOL,OIL,£/KWH,0.03873508281972796,2005/06
INVERNESS CHILD GUIDANCE CENTRE,ELECTRICITY,KWH,118229.813492796,2005/06
INVERNESS CHILD GUIDANCE CENTRE,ELECTRICITY,£,10746.762103032,2005/06
INVERNESS CHILD GUIDANCE CENTRE,ELECTRICITY,£/KWH,0.09089722622024456,2005/06
INVERNESS HIGH SCHOOL,ELECTRICITY,KWH,363277.3165455742,2005/06
INVERNESS HIGH SCHOOL,ELECTRICITY,£,29577.121658088232,2005/06
INVERNESS HIGH SCHOOL,ELECTRICITY,£/KWH,0.08141747450498384,2005/06
INVERNESS HIGH SCHOOL,GAS,KWH,2370216.898749999,2005/06
INVERNESS HIGH SCHOOL,GAS,£,44356.06375000001,2005/06
INVERNESS HIGH SCHOOL,GAS,£/KWH,0.018713926043389718,2005/06
INVERNESS HIGH SCHOOL,OIL,KWH,327153.30435022945,2005/06
INVERNESS HIGH SCHOOL,OIL,£,13055.604908226773,2005/06
INVERNESS HIGH SCHOOL,OIL,£/KWH,0.039906688193649655,2005/06
KEISS PRIMARY SCHOOL,ELECTRICITY,KWH,94167.29023470319,2005/06
KEISS PRIMARY SCHOOL,ELECTRICITY,£,5943.115849351095,2005/06
KEISS PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0631123167560459,2005/06
KILCHOAN PRIMARY SCHOOL,ELECTRICITY,KWH,40600.982626149686,2005/06
KILCHOAN PRIMARY SCHOOL,ELECTRICITY,£,2499.731734187575,2005/06
KILCHOAN PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06156825703468528,2005/06
KILCHUIMEN ACADEMY,ELECTRICITY,KWH,85011.09192949127,2005/06
KILCHUIMEN ACADEMY,ELECTRICITY,£,7772.677087421116,2005/06
KILCHUIMEN ACADEMY,ELECTRICITY,£/KWH,0.0914313286772957,2005/06
KILCHUIMEN ACADEMY,OIL,KWH,349479.0591645533,2005/06
KILCHUIMEN ACADEMY,OIL,£,13635.865629209691,2005/06
KILCHUIMEN ACADEMY,OIL,£/KWH,0.039017690106545704,2005/06
KILMUIR PRIMARY SCHOOL,ELECTRICITY,KWH,12793.330744813893,2005/06
KILMUIR PRIMARY SCHOOL,ELECTRICITY,£,1033.4076060960124,2005/06
KILMUIR PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08077705694546597,2005/06
KILMUIR PRIMARY SCHOOL,OIL,KWH,114464.46555585715,2005/06
KILMUIR PRIMARY SCHOOL,OIL,£,4191.806452574989,2005/06
KILMUIR PRIMARY SCHOOL,OIL,£/KWH,0.036621028475683944,2005/06
KILTEARN PRIMARY SCHOOL,ELECTRICITY,KWH,40816.40407923112,2005/06
KILTEARN PRIMARY SCHOOL,ELECTRICITY,£,3525.920167445539,2005/06
KILTEARN PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08638487997622642,2005/06
KILTEARN PRIMARY SCHOOL,OIL,KWH,183982.3641733369,2005/06
KILTEARN PRIMARY SCHOOL,OIL,£,6747.493061507083,2005/06
KILTEARN PRIMARY SCHOOL,OIL,£/KWH,0.03667467309611268,2005/06
KINGUSSIE HIGH SCHOOL,ELECTRICITY,KWH,456367.0,2005/06
KINGUSSIE HIGH SCHOOL,ELECTRICITY,£,37358.91,2005/06
KINGUSSIE HIGH SCHOOL,ELECTRICITY,£/KWH,0.0818615500244321,2005/06
KINGUSSIE HIGH SCHOOL,OIL,KWH,981164.7141900226,2005/06
KINGUSSIE HIGH SCHOOL,OIL,£,38012.282029968985,2005/06
KINGUSSIE HIGH SCHOOL,OIL,£/KWH,0.03874199864734142,2005/06
KINGUSSIE PRIMARY SCHOOL,ELECTRICITY,KWH,92147.0,2005/06
KINGUSSIE PRIMARY SCHOOL,ELECTRICITY,£,7455.559999999999,2005/06
KINGUSSIE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08090941647584836,2005/06
KINGUSSIE PRIMARY SCHOOL,OIL,KWH,399342.7726050209,2005/06
KINGUSSIE PRIMARY SCHOOL,OIL,£,15657.809767700333,2005/06
KINGUSSIE PRIMARY SCHOOL,OIL,£/KWH,0.03920894740515825,2005/06
KINLOCHBERVIE HIGH SCHOOL,ELECTRICITY,KWH,116538.78607420974,2005/06
KINLOCHBERVIE HIGH SCHOOL,ELECTRICITY,£,8109.8510123683045,2005/06
KINLOCHBERVIE HIGH SCHOOL,ELECTRICITY,£/KWH,0.06958928684227156,2005/06
KINLOCHEWE PRIMARY SCHOOL,ELECTRICITY,KWH,52162.729895026736,2005/06
KINLOCHEWE PRIMARY SCHOOL,ELECTRICITY,£,3511.5883161563333,2005/06
KINLOCHEWE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06731987231540834,2005/06
KINMYLIES PRIMARY SCHOOL,ELECTRICITY,KWH,72184.0,2005/06
KINMYLIES PRIMARY SCHOOL,ELECTRICITY,£,6141.920000000001,2005/06
KINMYLIES PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08508699988917214,2005/06
KINMYLIES PRIMARY SCHOOL,OIL,KWH,451098.013526974,2005/06
KINMYLIES PRIMARY SCHOOL,OIL,£,17064.003349643575,2005/06
KINMYLIES PRIMARY SCHOOL,OIL,£/KWH,0.03782770670220034,2005/06
KIRKHILL PRIMARY SCHOOL,ELECTRICITY,KWH,71926.92715914313,2005/06
KIRKHILL PRIMARY SCHOOL,ELECTRICITY,£,5150.759555952374,2005/06
KIRKHILL PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07161100521583488,2005/06
KNOCKBRECK PRIMARY SCHOOL SKYE,ELECTRICITY,KWH,28052.686806935046,2005/06
KNOCKBRECK PRIMARY SCHOOL SKYE,ELECTRICITY,£,1931.2593069833244,2005/06
KNOCKBRECK PRIMARY SCHOOL SKYE,ELECTRICITY,£/KWH,0.06884400486394367,2005/06
KNOCKBRECK PRIMARY SCHOOL TAIN,ELECTRICITY,KWH,193020.72070756144,2005/06
KNOCKBRECK PRIMARY SCHOOL TAIN,ELECTRICITY,£,12976.080574635258,2005/06
KNOCKBRECK PRIMARY SCHOOL TAIN,ELECTRICITY,£/KWH,0.0672263606055789,2005/06
KYLE PRIMARY SCHOOL,ELECTRICITY,KWH,110757.40632358656,2005/06
KYLE PRIMARY SCHOOL,ELECTRICITY,£,8091.237484346715,2005/06
KYLE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07305369232561769,2005/06
KYLEAKIN PRIMARY SCHOOL,ELECTRICITY,KWH,56584.00000000001,2005/06
KYLEAKIN PRIMARY SCHOOL,ELECTRICITY,£,4670.450000000001,2005/06
KYLEAKIN PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08254011734766012,2005/06
LADY LOVAT PRIMARY SCHOOL,ELECTRICITY,KWH,31613.615568729,2005/06
LADY LOVAT PRIMARY SCHOOL,ELECTRICITY,£,2408.974525348928,2005/06
LADY LOVAT PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07620053834436435,2005/06
LAIRG PRIMARY SCHOOL,ELECTRICITY,KWH,44761.6873232124,2005/06
LAIRG PRIMARY SCHOOL,ELECTRICITY,£,4023.002185018028,2005/06
LAIRG PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08987601731742115,2005/06
LAIRG PRIMARY SCHOOL,OIL,KWH,241696.46995398178,2005/06
LAIRG PRIMARY SCHOOL,OIL,£,9473.152047671281,2005/06
LAIRG PRIMARY SCHOOL,OIL,£/KWH,0.03919441624230151,2005/06
LOCH DUICH PRIMARY SCHOOL,ELECTRICITY,KWH,87074.57518188389,2005/06
LOCH DUICH PRIMARY SCHOOL,ELECTRICITY,£,5668.462985027663,2005/06
LOCH DUICH PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06509894505011611,2005/06
LOCHABER HIGH SCHOOL,ELECTRICITY,KWH,526711.0,2005/06
LOCHABER HIGH SCHOOL,ELECTRICITY,£,44085.26000000001,2005/06
LOCHABER HIGH SCHOOL,ELECTRICITY,£/KWH,0.08369914431253574,2005/06
LOCHABER HIGH SCHOOL,OIL,KWH,3957589.1224519373,2005/06
LOCHABER HIGH SCHOOL,OIL,£,151328.27672979404,2005/06
LOCHABER HIGH SCHOOL,OIL,£/KWH,0.038237490564972575,2005/06
LOCHARDIL PRIMARY SCHOOL,ELECTRICITY,KWH,150320.20445602812,2005/06
LOCHARDIL PRIMARY SCHOOL,ELECTRICITY,£,13664.186080353611,2005/06
LOCHARDIL PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.09090052883975872,2005/06
LOCHARDIL PRIMARY SCHOOL,OIL,KWH,292141.99160662544,2005/06
LOCHARDIL PRIMARY SCHOOL,OIL,£,11704.501563207974,2005/06
LOCHARDIL PRIMARY SCHOOL,OIL,£/KWH,0.04006442722882611,2005/06
LOCHCARRON PRIMARY SCHOOL,ELECTRICITY,KWH,86652.3967704207,2005/06
LOCHCARRON PRIMARY SCHOOL,ELECTRICITY,£,6677.301147527265,2005/06
LOCHCARRON PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07705847035273929,2005/06
LOCHCARRON PRIMARY SCHOOL,OIL,KWH,58319.156050393656,2005/06
LOCHCARRON PRIMARY SCHOOL,OIL,£,2189.9561188291873,2005/06
LOCHCARRON PRIMARY SCHOOL,OIL,£/KWH,0.03755123131303278,2005/06
LOCHINVER PRIMARY SCHOOL,ELECTRICITY,KWH,31253.275069631643,2005/06
LOCHINVER PRIMARY SCHOOL,ELECTRICITY,£,2730.834423139873,2005/06
LOCHINVER PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08737754417915021,2005/06
LOCHINVER PRIMARY SCHOOL,OIL,KWH,168138.96515095272,2005/06
LOCHINVER PRIMARY SCHOOL,OIL,£,6735.570661607549,2005/06
LOCHINVER PRIMARY SCHOOL,OIL,£/KWH,0.040059546313731924,2005/06
LYBSTER PRIMARY SCHOOL,ELECTRICITY,KWH,32483.63800305815,2005/06
LYBSTER PRIMARY SCHOOL,ELECTRICITY,£,2944.8306887959116,2005/06
LYBSTER PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.09065581535290698,2005/06
LYBSTER PRIMARY SCHOOL,OIL,KWH,842514.8706058358,2005/06
LYBSTER PRIMARY SCHOOL,OIL,£,32567.270150635362,2005/06
LYBSTER PRIMARY SCHOOL,OIL,£/KWH,0.03865483125207853,2005/06
MACDIARMID PRIMARY SCHOOL,ELECTRICITY,KWH,68312.72815159406,2005/06
MACDIARMID PRIMARY SCHOOL,ELECTRICITY,£,4477.496758852209,2005/06
MACDIARMID PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06554410693298783,2005/06
MALLAIG HIGH SCHOOL,ELECTRICITY,KWH,414727.31803899584,2005/06
MALLAIG HIGH SCHOOL,ELECTRICITY,£,31520.32422802424,2005/06
MALLAIG HIGH SCHOOL,ELECTRICITY,£/KWH,0.07600252709916847,2005/06
MALLAIG PRIMARY SCHOOL,ELECTRICITY,KWH,37354.58465399749,2005/06
MALLAIG PRIMARY SCHOOL,ELECTRICITY,£,3375.6694078493865,2005/06
MALLAIG PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0903682757850753,2005/06
MALLAIG PRIMARY SCHOOL,OIL,KWH,179616.18286083863,2005/06
MALLAIG PRIMARY SCHOOL,OIL,£,6345.662565266975,2005/06
MALLAIG PRIMARY SCHOOL,OIL,£/KWH,0.035329013589958144,2005/06
MARYBANK PRIMARY SCHOOL,ELECTRICITY,KWH,108116.3071137517,2005/06
MARYBANK PRIMARY SCHOOL,ELECTRICITY,£,6720.2675454541695,2005/06
MARYBANK PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06215776070101635,2005/06
MELVICH PRIMARY SCHOOL,ELECTRICITY,KWH,24852.766998560513,2005/06
MELVICH PRIMARY SCHOOL,ELECTRICITY,£,2323.970573662367,2005/06
MELVICH PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.09350953050004342,2005/06
MELVICH PRIMARY SCHOOL,OIL,KWH,72039.99735044356,2005/06
MELVICH PRIMARY SCHOOL,OIL,£,2879.117985558608,2005/06
MELVICH PRIMARY SCHOOL,OIL,£/KWH,0.039965548187806545,2005/06
MERKINCH FAMILY CENTRE,ELECTRICITY,KWH,21173.87143714441,2005/06
MERKINCH FAMILY CENTRE,ELECTRICITY,£,1936.8621524369537,2005/06
MERKINCH FAMILY CENTRE,ELECTRICITY,£/KWH,0.09147416230360216,2005/06
MERKINCH FAMILY CENTRE,GAS,KWH,72572.78741935486,2005/06
MERKINCH FAMILY CENTRE,GAS,£,1404.7864516129034,2005/06
MERKINCH FAMILY CENTRE,GAS,£/KWH,0.019356931179940494,2005/06
MERKINCH PRIMARY SCHOOL,ELECTRICITY,KWH,16358.194010278217,2005/06
MERKINCH PRIMARY SCHOOL,ELECTRICITY,£,1451.0622748446376,2005/06
MERKINCH PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08870553032522434,2005/06
MERKINCH PRIMARY SCHOOL,GAS,KWH,551816.2831550802,2005/06
MERKINCH PRIMARY SCHOOL,GAS,£,11056.38422459893,2005/06
MERKINCH PRIMARY SCHOOL,GAS,£/KWH,0.020036350071771424,2005/06
MILLBANK PARK BOATING SHED,ELECTRICITY,KWH,13.385897174970882,2005/06
MILLBANK PARK BOATING SHED,ELECTRICITY,£,1.0156686705321554,2005/06
MILLBANK PARK BOATING SHED,ELECTRICITY,£/KWH,0.07587602513720675,2005/06
MILLBANK PRIMARY SCHOOL,ELECTRICITY,KWH,277282.73012190737,2005/06
MILLBANK PRIMARY SCHOOL,ELECTRICITY,£,21662.648613527734,2005/06
MILLBANK PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07812476674621513,2005/06
MILLBANK PRIMARY SCHOOL,GAS,KWH,27004.700500075767,2005/06
MILLBANK PRIMARY SCHOOL,GAS,£,475.7809471131991,2005/06
MILLBANK PRIMARY SCHOOL,GAS,£/KWH,0.01761844931817941,2005/06
MILLBANK PRIMARY SCHOOL,OIL,KWH,330333.03291925613,2005/06
MILLBANK PRIMARY SCHOOL,OIL,£,13023.892652690656,2005/06
MILLBANK PRIMARY SCHOOL,OIL,£/KWH,0.03942655246311412,2005/06
MILLER ACADEMY PRIMARY SCHOOL,ELECTRICITY,KWH,342006.0,2005/06
MILLER ACADEMY PRIMARY SCHOOL,ELECTRICITY,£,25156.56,2005/06
MILLER ACADEMY PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07355590252802582,2005/06
MILLER ACADEMY PRIMARY SCHOOL,GAS,KWH,4611.625806451612,2005/06
MILLER ACADEMY PRIMARY SCHOOL,GAS,£,75.32483870967741,2005/06
MILLER ACADEMY PRIMARY SCHOOL,GAS,£/KWH,0.016333684013195262,2005/06
MILLER ACADEMY PRIMARY SCHOOL,OIL,KWH,225834.12958339424,2005/06
MILLER ACADEMY PRIMARY SCHOOL,OIL,£,8714.601912077036,2005/06
MILLER ACADEMY PRIMARY SCHOOL,OIL,£/KWH,0.03858850709657229,2005/06
MILTON OF LEYS PRIMARY SCHOOL,ELECTRICITY,KWH,43263.0109940449,2005/06
MILTON OF LEYS PRIMARY SCHOOL,ELECTRICITY,£,3830.4007329363258,2005/06
MILTON OF LEYS PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08853754384926135,2005/06
MILTON PRIMARY SCHOOL,ELECTRICITY,KWH,4502.484868863484,2005/06
MILTON PRIMARY SCHOOL,ELECTRICITY,£,418.1977605917956,2005/06
MILTON PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0928815471394037,2005/06
MILTON PRIMARY SCHOOL,OIL,KWH,191581.24881169794,2005/06
MILTON PRIMARY SCHOOL,OIL,£,7564.715130118103,2005/06
MILTON PRIMARY SCHOOL,OIL,£/KWH,0.039485676061926794,2005/06
MOUNT PLEASANT PRIMARY SCHOOL,ELECTRICITY,KWH,64121.47368707799,2005/06
MOUNT PLEASANT PRIMARY SCHOOL,ELECTRICITY,£,5689.495201933499,2005/06
MOUNT PLEASANT PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08872995074472326,2005/06
MOUNT PLEASANT PRIMARY SCHOOL,OIL,KWH,418453.85105543357,2005/06
MOUNT PLEASANT PRIMARY SCHOOL,OIL,£,16285.940902939614,2005/06
MOUNT PLEASANT PRIMARY SCHOOL,OIL,£/KWH,0.038919323748276786,2005/06
MUIR OF ORD LIBRARY,ELECTRICITY,KWH,52614.80396401643,2005/06
MUIR OF ORD LIBRARY,ELECTRICITY,£,4819.0863757849,2005/06
MUIR OF ORD LIBRARY,ELECTRICITY,£/KWH,0.0915918337181433,2005/06
MUIRTOWN PRIMARY SCHOOL,ELECTRICITY,KWH,117883.73829875414,2005/06
MUIRTOWN PRIMARY SCHOOL,ELECTRICITY,£,10443.128757530425,2005/06
MUIRTOWN PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08858837451408508,2005/06
MUIRTOWN PRIMARY SCHOOL,GAS,KWH,495680.8933155081,2005/06
MUIRTOWN PRIMARY SCHOOL,GAS,£,9919.070695187169,2005/06
MUIRTOWN PRIMARY SCHOOL,GAS,£/KWH,0.020011000684009694,2005/06
MULBUIE PRIMARY SCHOOL,ELECTRICITY,KWH,34700.7725524611,2005/06
MULBUIE PRIMARY SCHOOL,ELECTRICITY,£,2431.036051856875,2005/06
MULBUIE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07005711611122206,2005/06
MULBUIE PRIMARY SCHOOL,OIL,KWH,63445.06099461424,2005/06
MULBUIE PRIMARY SCHOOL,OIL,£,2280.8450640008277,2005/06
MULBUIE PRIMARY SCHOOL,OIL,£/KWH,0.035949923102673746,2005/06
MUNLOCHY PRIMARY SCHOOL,ELECTRICITY,KWH,65561.38310918085,2005/06
MUNLOCHY PRIMARY SCHOOL,ELECTRICITY,£,5165.387964968425,2005/06
MUNLOCHY PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07878704993710074,2005/06
MUNLOCHY PRIMARY SCHOOL,OIL,KWH,98380.70378987418,2005/06
MUNLOCHY PRIMARY SCHOOL,OIL,£,3582.9935667696855,2005/06
MUNLOCHY PRIMARY SCHOOL,OIL,£/KWH,0.03641967813548478,2005/06
NAIRN ACADEMY,ELECTRICITY,KWH,399889.7004490286,2005/06
NAIRN ACADEMY,ELECTRICITY,£,36757.17128549138,2005/06
NAIRN ACADEMY,ELECTRICITY,£/KWH,0.09191827457475761,2005/06
NAIRN ACADEMY,GAS,KWH,1400106.3774039343,2005/06
NAIRN ACADEMY,GAS,£,28052.973693154992,2005/06
NAIRN ACADEMY,GAS,£/KWH,0.02003631591563106,2005/06
NEWMORE PRIMARY SCHOOL,ELECTRICITY,KWH,81294.5934925503,2005/06
NEWMORE PRIMARY SCHOOL,ELECTRICITY,£,7395.80722525335,2005/06
NEWMORE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.09097538849162325,2005/06
NEWTONMORE PRIMARY SCHOOL,ELECTRICITY,KWH,189772.75844977648,2005/06
NEWTONMORE PRIMARY SCHOOL,ELECTRICITY,£,12400.810780821736,2005/06
NEWTONMORE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0653455790078723,2005/06
NORTH KESSOCK PRIMARY SCHOOL,ELECTRICITY,KWH,155348.28138935982,2005/06
NORTH KESSOCK PRIMARY SCHOOL,ELECTRICITY,£,10330.533198555155,2005/06
NORTH KESSOCK PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06649917917445798,2005/06
OBSDALE PRIMARY SCHOOL,ELECTRICITY,KWH,28027.59227840297,2005/06
OBSDALE PRIMARY SCHOOL,ELECTRICITY,£,2507.6713930217297,2005/06
OBSDALE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.08947152392230455,2005/06
OBSDALE PRIMARY SCHOOL,OIL,KWH,373504.06046415516,2005/06
OBSDALE PRIMARY SCHOOL,OIL,£,14458.68244981895,2005/06
OBSDALE PRIMARY SCHOOL,OIL,£/KWH,0.03871091101888178,2005/06
PARK PRIMARY SCHOOL,ELECTRICITY,KWH,81162.03947359193,2005/06
PARK PRIMARY SCHOOL,ELECTRICITY,£,7334.22270311755,2005/06
PARK PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0903651848904551,2005/06
PARK PRIMARY SCHOOL,OIL,KWH,467620.19758593926,2005/06
PARK PRIMARY SCHOOL,OIL,£,17955.991119950704,2005/06
PARK PRIMARY SCHOOL,OIL,£/KWH,0.03839866458430883,2005/06
PEFFERSIDE PARK,ELECTRICITY,KWH,9295.022473762225,2005/06
PEFFERSIDE PARK,ELECTRICITY,£,594.4513146597149,2005/06
PEFFERSIDE PARK,ELECTRICITY,£/KWH,0.06395372537696582,2005/06
PENNYLAND PRIMARY SCHOOL,ELECTRICITY,KWH,461492.9999999999,2005/06
PENNYLAND PRIMARY SCHOOL,ELECTRICITY,£,32642.980000000003,2005/06
PENNYLAND PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07073342390892172,2005/06
PLOCKTON HIGH SCHOOL,ELECTRICITY,KWH,292549.5626687643,2005/06
PLOCKTON HIGH SCHOOL,ELECTRICITY,£,25651.118158670142,2005/06
PLOCKTON HIGH SCHOOL,ELECTRICITY,£/KWH,0.0876812733017595,2005/06
PLOCKTON HIGH SCHOOL,OIL,KWH,1244200.4250179266,2005/06
PLOCKTON HIGH SCHOOL,OIL,£,48149.01373030632,2005/06
PLOCKTON HIGH SCHOOL,OIL,£/KWH,0.03869876007284966,2005/06
PLOCKTON PRIMARY SCHOOL,ELECTRICITY,KWH,102895.11907186313,2005/06
PLOCKTON PRIMARY SCHOOL,ELECTRICITY,£,6454.69842825368,2005/06
PLOCKTON PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06273085143859589,2005/06
POOLEWE PRIMARY SCHOOL,ELECTRICITY,KWH,33980.103032354134,2005/06
POOLEWE PRIMARY SCHOOL,ELECTRICITY,£,5774.805799685702,2005/06
POOLEWE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.16994668303940175,2005/06
PORTREE PRIMARY SCHOOL,ELECTRICITY,KWH,222689.32440472252,2005/06
PORTREE PRIMARY SCHOOL,ELECTRICITY,£,15368.266796888343,2005/06
PORTREE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06901213984087345,2005/06
QUEENS PARK GRANDSTAND,ELECTRICITY,KWH,25881.150602586655,2005/06
QUEENS PARK GRANDSTAND,ELECTRICITY,£,2239.975129083925,2005/06
QUEENS PARK GRANDSTAND,ELECTRICITY,£/KWH,0.08654851414759179,2005/06
RAASAY PRIMARY SCHOOL,ELECTRICITY,KWH,48108.55040872549,2005/06
RAASAY PRIMARY SCHOOL,ELECTRICITY,£,3049.1728949506255,2005/06
RAASAY PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06338110105262275,2005/06
RAIGMORE COMMUNITY CENTRE,ELECTRICITY,KWH,68912.00000000003,2005/06
RAIGMORE COMMUNITY CENTRE,ELECTRICITY,£,4851.610000000001,2005/06
RAIGMORE COMMUNITY CENTRE,ELECTRICITY,£/KWH,0.07040297771070349,2005/06
RAIGMORE PRIMARY SCHOOL,ELECTRICITY,KWH,127183.92113367037,2005/06
RAIGMORE PRIMARY SCHOOL,ELECTRICITY,£,11548.467695696134,2005/06
RAIGMORE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0908013182229119,2005/06
RAIGMORE PRIMARY SCHOOL,OIL,KWH,195046.0579754528,2005/06
RAIGMORE PRIMARY SCHOOL,OIL,£,7469.091515398653,2005/06
RAIGMORE PRIMARY SCHOOL,OIL,£/KWH,0.038293988573399745,2005/06
REAY PRIMARY SCHOOL,ELECTRICITY,KWH,92224.72825063727,2005/06
REAY PRIMARY SCHOOL,ELECTRICITY,£,5848.928411000454,2005/06
REAY PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06342039192682618,2005/06
ROGART PRIMARY SCHOOL,ELECTRICITY,KWH,88004.5324917398,2005/06
ROGART PRIMARY SCHOOL,ELECTRICITY,£,5752.338818291299,2005/06
ROGART PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06536411995406281,2005/06
ROSEBANK PRIMARY SCHOOL,ELECTRICITY,KWH,63339.45169335989,2005/06
ROSEBANK PRIMARY SCHOOL,ELECTRICITY,£,5872.649035121957,2005/06
